City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
170,Gamba,GA,76.98,moderate rain,-2.65,10.0,
172,Saint-Pierre,RE,80.28,light rain,-21.3393,55.4781,Lindsey Hôtel
174,Russas,BR,79.09,scattered clouds,-4.9403,-37.9758,Veredas do Vale Hotel
177,Luis Correia,BR,82.4,broken clouds,-2.8792,-41.6669,Hotel Amarração
184,Yeppoon,AU,74.98,light rain,-23.1333,150.7333,Villa Mar Colina
186,Neiafu,TO,84.88,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
187,Carazinho,BR,80.53,few clouds,-28.2839,-52.7864,San Remo Hotel
188,Bonthe,SL,77.88,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
191,Santa Fe,AR,87.91,overcast clouds,-31.6333,-60.7,Conquistador Hotel
194,Hithadhoo,MV,81.61,scattered clouds,-0.6,73.0833,Scoop Guest House
197,Kudahuvadhoo,MV,81.14,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
206,Ambilobe,MG,73.47,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
212,Sokoni,TZ,80.46,overcast clouds,-6.4333,39.55,Ujamaa Beach Resort
216,Mozarlandia,BR,74.64,broken clouds,-14.7447,-50.5706,Hotel Santa Mônica
218,Pocao De Pedras,BR,76.55,broken clouds,-4.6667,-44.85,Hotel Magazine
220,Acajutla,SV,81.81,clear sky,13.5928,-89.8275,Laureles
221,Jakarta,ID,81.52,haze,-6.2146,106.8451,HARRIS Hotel Tebet - Jakarta
222,Faanui,PF,81.14,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
223,Sola,VU,83.07,very heavy rain,-13.8833,167.55,Leumerus Bungalows
224,Carutapera,BR,75.92,overcast clouds,-1.195,-46.02,Lidera
226,Bontang,ID,77.67,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
229,The Valley,AI,78.94,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
230,Encruzilhada Do Sul,BR,73.42,few clouds,-30.5439,-52.5219,Conceição Palace Hotel
231,Eyl,SO,73.15,clear sky,7.9803,49.8164,Amiin Hotel
233,Kavaratti,IN,79.39,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
238,Karratha,AU,81.97,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
240,Pandan Niog,PH,81.27,broken clouds,6.2282,120.5631,
244,San Patricio,US,78.78,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
247,Karaton,ID,79.95,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
250,Navolato,MX,76.64,overcast clouds,24.7672,-107.6944,Cofradía de San pedro Navolato sinaloa
254,Lima,PE,76.14,clear sky,-12.0432,-77.0282,Hotel Kamana
262,East London,ZA,74.53,light rain,-33.0153,27.9116,Tu Casa
263,Hervey Bay,AU,82.04,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
265,Mtsamboro,YT,78.12,overcast clouds,-12.6998,45.0689,
267,Acarau,BR,79.66,broken clouds,-2.8856,-40.12,castelo pizzaria
268,Ouesso,CG,77.76,overcast clouds,1.6136,16.0517,ABENIE Hotel
270,Las Lomas,PA,85.41,few clouds,8.4333,-82.4,Hotel Castilla
271,Kulhudhuffushi,MV,80.15,scattered clouds,6.6221,73.07,Haajy Guest House 1
279,Ramos Arizpe,MX,81.64,clear sky,25.55,-100.9667,Mario's Inn
282,Manakara,MG,72.14,broken clouds,-22.1333,48.0167,La Residence Manakara
286,Caravelas,BR,77.76,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
289,Gigmoto,PH,77.4,overcast clouds,13.7796,124.39,Cj's Travellers Inn
290,Souillac,MU,80.37,moderate rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
292,Olongapo,PH,75.25,scattered clouds,14.8292,120.2828,Mañana Hotel
294,Anito,PH,76.86,broken clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
297,Vanimo,PG,78.46,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
298,Alofi,NU,78.69,shower rain,-19.0595,-169.9187,Taloa Heights
302,Birao,CF,70.48,clear sky,10.2849,22.7882,
307,Makakilo City,US,79.02,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
309,Kavieng,PG,78.96,light rain,-2.5744,150.7967,Nusa Island Retreat
313,Sri Aman,MY,73.45,broken clouds,1.2376,111.4621,Seri Simanggang Hotel
315,Labuhan,ID,77.47,overcast clouds,-6.8844,112.2051,DoubleFAG
317,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
320,Itarema,BR,79.57,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
327,Inhambupe,BR,75.34,clear sky,-11.7844,-38.3531,Hotel JVS
339,Sabana Grande De Boya,DO,78.19,scattered clouds,18.945,-69.7933,Balcones De Boya
340,Kisangani,CD,73.9,overcast clouds,0.5167,25.2,Grand Ramela Hotel
341,Merauke,ID,79.07,overcast clouds,-8.4667,140.3333,
343,Rawson,AR,71.94,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
350,Bathsheba,BB,77.92,scattered clouds,13.2167,-59.5167,Atlantis Hotel
353,Mobaye,CF,79.95,broken clouds,4.319,21.1786,
354,Vao,NC,77.83,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
358,Wewak,PG,78.93,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
359,Mareeba,AU,83.48,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
362,Harper,LR,79.14,overcast clouds,4.375,-7.7169,Screensaver
369,Rocha,UY,71.2,clear sky,-34.4833,-54.3333,Hotel Arrarte
370,Pemba,MZ,79.5,few clouds,-12.974,40.5178,Guesthouse Samotina
374,Monrovia,LR,79.65,clear sky,6.3005,-10.7969,Sunset Inn
376,Sangueya,GN,72.28,few clouds,10.7,-14.3667,
378,Oistins,BB,77.79,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
380,Porto Novo,BJ,76.46,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
381,Yenagoa,NG,79.5,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
383,San Policarpo,PH,79.11,broken clouds,12.1791,125.5072,Agapita M. Nicart
384,Soyo,AO,77.83,broken clouds,-6.1349,12.3689,Hotel Mpampa
386,Necochea,AR,81.61,light rain,-38.5473,-58.7368,dyd -mar Hotel
391,Borba,BR,75.22,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
393,Grand-Santi,GF,72.81,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
398,Los Algarrobos,PA,81.45,clear sky,8.5,-82.4333,Waterfall Hostel
405,Finschhafen,PG,82.17,overcast clouds,-6.6024,147.8681,Cossam Guest House
409,General Roca,AR,84.61,clear sky,-39.0333,-67.5833,Hotel El Recreo
410,Phayakkhaphum Phisai,TH,73.42,scattered clouds,15.5163,103.1937,โรงแรมบ้านนงนุชโฮเตล
412,Dingle,PH,75.81,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
416,Auburndale,US,76.59,scattered clouds,28.0653,-81.7887,Best Western Auburndale Inn & Suites
419,Kerouane,GN,72.12,broken clouds,9.2667,-9.0167,
420,Ternate,ID,78.82,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
