City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
350,Bathsheba,13.2167,-59.5167,77.92,73,27,17.13,BB,2022-02-02 23:00:56,scattered clouds
351,Vuktyl,63.8567,57.3094,17.19,96,99,6.62,RU,2022-02-02 23:00:56,overcast clouds
352,Chalons-En-Champagne,48.9539,4.3672,48.27,97,100,5.66,FR,2022-02-02 23:00:57,overcast clouds
353,Mobaye,4.319,21.1786,79.95,29,82,0.65,CF,2022-02-02 23:00:57,broken clouds
354,Vao,-22.6667,167.4833,77.83,76,97,14.12,NC,2022-02-02 23:00:57,overcast clouds
355,Devesel,44.4689,22.6672,39.87,83,18,15.82,RO,2022-02-02 23:00:58,few clouds
356,Lompoc,34.6391,-120.4579,66.78,21,0,4.0,US,2022-02-02 23:00:58,clear sky
357,Krasnyy Chikoy,50.3643,108.7512,-9.27,100,100,2.01,RU,2022-02-02 23:00:59,overcast clouds
358,Wewak,-3.5534,143.6268,78.93,83,100,5.61,PG,2022-02-02 23:00:59,overcast clouds
359,Mareeba,-17.0,145.4333,83.48,91,100,6.49,AU,2022-02-02 23:00:59,overcast clouds
360,Abu Dhabi,24.4667,54.3667,67.96,66,40,2.3,AE,2022-02-02 22:59:55,scattered clouds
361,Verkhnevilyuysk,63.4453,120.3167,-20.7,98,100,4.59,RU,2022-02-02 23:01:00,overcast clouds
362,Harper,4.375,-7.7169,79.14,80,87,8.34,LR,2022-02-02 23:01:00,overcast clouds
363,Gushikawa,26.3544,127.8686,69.03,100,75,13.8,JP,2022-02-02 23:01:01,broken clouds
364,Borogontsy,62.6683,131.1683,-39.06,100,63,0.47,RU,2022-02-02 23:01:01,broken clouds
365,Laurel,39.0993,-76.8483,47.59,74,0,1.99,US,2022-02-02 22:57:38,clear sky
366,Markivka,49.5229,39.5705,34.86,100,100,4.23,UA,2022-02-02 23:01:02,snow
367,Lokosovo,61.1333,74.8167,21.76,93,100,11.48,RU,2022-02-02 23:01:02,light snow
368,Betsiamites,48.9413,-68.646,28.49,85,100,12.66,CA,2022-02-02 23:01:03,overcast clouds
369,Rocha,-34.4833,-54.3333,71.2,81,0,11.68,UY,2022-02-02 23:01:03,clear sky
370,Pemba,-12.974,40.5178,79.5,88,20,5.99,MZ,2022-02-02 22:56:28,few clouds
